@relation pordiascalidadaire
@attribute fecha date 'dd-MM-yyyy'
@attribute 'SO2 (µg/m³)' numeric
@attribute 'NO (µg/m³)' numeric
@attribute 'NO2 (µg/m³)' numeric
@attribute 'CO (mg/m³)' numeric
@attribute barrio {eixample,girona,gracia,palaureial}
@attribute anyo {2016,2017}
@attribute mes {1,10,11,12,2,3,4,5,6,7,8,9}
@attribute dia {1,2,3,4,5,6,7}
@attribute laborable {falso,verdadero}
@attribute trimestre {1erTrimestre,'2do Trimestre','3do Trimestre','4o Trimestre'}
@data
16-11-2016,1.00,47.00,68.00,0.30,gracia,2016,11,4,verdadero,'4o Trimestre'
16-11-2016,2.00,100.00,75.00,1.00,eixample,2016,11,4,verdadero,'4o Trimestre'
16-11-2016,2.00,45.00,57.00,0.60,palaureial,2016,11,4,verdadero,'4o Trimestre'
16-11-2016,5.00,38.00,39.00,0.40,girona,2016,11,4,verdadero,'4o Trimestre'
17-11-2016,2.00,70.00,85.00,0.80,gracia,2016,11,5,verdadero,'4o Trimestre'
17-11-2016,3.00,133.00,91.00,1.10,eixample,2016,11,5,verdadero,'4o Trimestre'
17-11-2016,3.00,51.00,65.00,0.70,palaureial,2016,11,5,verdadero,'4o Trimestre'
17-11-2016,5.00,62.00,43.00,0.50,girona,2016,11,5,verdadero,'4o Trimestre'
18-11-2016,1.00,46.00,75.00,0.60,gracia,2016,11,6,verdadero,'4o Trimestre'
18-11-2016,2.00,38.00,53.00,0.50,girona,2016,11,6,verdadero,'4o Trimestre'
18-11-2016,2.00,85.00,83.00,0.90,eixample,2016,11,6,verdadero,'4o Trimestre'
18-11-2016,3.00,15.00,49.00,0.40,palaureial,2016,11,6,verdadero,'4o Trimestre'
19-11-2016,1.00,17.00,47.00,0.30,gracia,2016,11,7,falso,'4o Trimestre'
19-11-2016,1.00,31.00,52.00,0.50,eixample,2016,11,7,falso,'4o Trimestre'
19-11-2016,2.00,16.00,28.00,0.30,girona,2016,11,7,falso,'4o Trimestre'
19-11-2016,2.00,5.00,29.00,0.30,palaureial,2016,11,7,falso,'4o Trimestre'
20-11-2016,1.00,19.00,49.00,0.40,eixample,2016,11,1,falso,'4o Trimestre'
20-11-2016,1.00,7.00,41.00,0.20,gracia,2016,11,1,falso,'4o Trimestre'
20-11-2016,2.00,2.00,24.00,0.20,palaureial,2016,11,1,falso,'4o Trimestre'
20-11-2016,3.00,4.00,20.00,0.20,girona,2016,11,1,falso,'4o Trimestre'
21-11-2016,1.00,12.00,43.00,0.30,gracia,2016,11,2,verdadero,'4o Trimestre'
21-11-2016,1.00,34.00,53.00,0.60,eixample,2016,11,2,verdadero,'4o Trimestre'
21-11-2016,2.00,3.00,26.00,0.20,palaureial,2016,11,2,verdadero,'4o Trimestre'
21-11-2016,6.00,7.00,23.00,0.30,girona,2016,11,2,verdadero,'4o Trimestre'
22-11-2016,1.00,52.00,62.00,0.70,eixample,2016,11,3,verdadero,'4o Trimestre'
22-11-2016,2.00,15.00,37.00,0.20,palaureial,2016,11,3,verdadero,'4o Trimestre'
22-11-2016,2.00,27.00,49.00,0.40,gracia,2016,11,3,verdadero,'4o Trimestre'
22-11-2016,4.00,3.00,15.00,0.20,girona,2016,11,3,verdadero,'4o Trimestre'
23-11-2016,1.00,15.00,45.00,0.30,gracia,2016,11,4,verdadero,'4o Trimestre'
23-11-2016,1.00,41.00,60.00,0.70,eixample,2016,11,4,verdadero,'4o Trimestre'
23-11-2016,2.00,3.00,30.00,0.20,palaureial,2016,11,4,verdadero,'4o Trimestre'
23-11-2016,7.00,12.00,45.00,0.50,girona,2016,11,4,verdadero,'4o Trimestre'
24-11-2016,1.00,24.00,51.00,0.50,gracia,2016,11,5,verdadero,'4o Trimestre'
24-11-2016,1.00,35.00,52.00,0.50,eixample,2016,11,5,verdadero,'4o Trimestre'
24-11-2016,2.00,8.00,26.00,0.40,palaureial,2016,11,5,verdadero,'4o Trimestre'
24-11-2016,6.00,22.00,38.00,0.50,girona,2016,11,5,verdadero,'4o Trimestre'
25-11-2016,2.00,22.00,36.00,0.60,palaureial,2016,11,6,verdadero,'4o Trimestre'
25-11-2016,2.00,41.00,59.00,0.60,gracia,2016,11,6,verdadero,'4o Trimestre'
25-11-2016,2.00,45.00,56.00,0.60,eixample,2016,11,6,verdadero,'4o Trimestre'
25-11-2016,6.00,28.00,37.00,0.50,girona,2016,11,6,verdadero,'4o Trimestre'
26-11-2016,1.00,17.00,47.00,0.30,gracia,2016,11,7,falso,'4o Trimestre'
26-11-2016,1.00,35.00,60.00,0.70,eixample,2016,11,7,falso,'4o Trimestre'
26-11-2016,2.00,3.00,32.00,0.40,palaureial,2016,11,7,falso,'4o Trimestre'
